城市,北上广迁入指数,均价(元/㎡),原始房价
济源,0.002765438,0.102047327,7383
海东,0.00102167,0.067726601,5594
淄博,0.089113786,0.106120173,7595.300926
淮北,0.035000312,0.071093447,5769.5
淮南,0.146074199,0.049480992,4642.930556
淮安,0.224773839,0.119195043,8276.840741
渭南,0.019276364,0.04759299,4544.516667
湘潭,0.059264478,0.063049467,5350.2
湛江,0.837955546,0.100683252,7311.896296
滨州,0.114361775,0.092318828,6875.892857
漯河,0.034466649,0.054994402,4930.322222
漳州,0.10473761,0.138809285,9299.251515
潍坊,0.137509352,0.087155292,6606.738733
潜江,0.011150262,0.067362099,5575
潮州,0.205018479,0.093143677,6918.888889
濮阳,0.097355633,0.067510549,5582.738095
烟台,0.130781387,0.11305259,7956.659646
焦作,0.025319677,0.04655423,4490.37037
牡丹江,0.007244206,0.047910328,4561.058201
玉林,0.295633131,0.048321978,4582.515873
玉溪,0.002114629,0.106692345,7625.125926
白城,0.00887203,0.036278085,3954.716667
白山,0.004239471,0.027168843,3479.888889
白银,0.002040937,0.063646098,5381.3
百色,0.042219087,0.049340421,4635.603175
益阳,0.077101653,0.063341083,5365.400794
盘锦,0.031898256,0.033759186,3823.416667
眉山,0.005388699,0.067694322,5592.31746
石嘴山,0.001811252,0.010443058,2608.041667
石河子,0.000502345,0.068206208,5619
福州,0.105685588,0.305378851,17981.84615
绥化,0.014526059,0.029573187,3605.217593
绵阳,0.01353763,0.085704517,6531.115741
聊城,0.127334903,0.085556816,6523.416667
自贡,0.007862375,0.071136992,5771.769841
茂名,1,0.097786279,7160.888889
荆州,0.099888581,0.064410469,5421.143519
荆门,0.031415055,0.047986375,4565.022222
莆田,0.030223974,0.168146219,10828.46667
菏泽,0.16903935,0.054075687,4882.433333
萍乡,0.037307981,0.040140526,4156.05
营口,0.027219239,0.051194295,4732.238095
葫芦岛,0.237585767,0.064265112,5413.566667
蚌埠,0.117127213,0.084456497,6466.061508
衡阳,0.430956365,0.051579305,4752.307071
衢州,0.103404753,0.196284224,12295.18651
襄阳,0.054033174,0.089339499,6720.592593
西宁,0.007406007,0.103642022,7466.125
西安,0.113325286,0.164734101,10650.60684
许昌,0.04038781,0.073276316,5883.284127
贵港,0.164407592,0.070993049,5764.266667
贵阳,0.050787539,0.11053648,7825.505051
贺州,0.177052912,0.058419547,5108.861111
资阳,0.005410126,0.074064883,5924.388889
赣州,0.746446382,0.092405214,6880.395833
赤峰,0.26266114,0.105091339,7541.671958
辽源,0.004446127,0.036782313,3981
辽阳,0.011073166,0.044706345,4394.047619
达州,0.042554304,0.085173967,6503.460317
运城,0.044704176,0.035120206,3894.361111
连云港,0.178946867,0.11562799,8090.904762
通化,0.009610147,0.052714423,4811.47619
通辽,0.045942516,0.055691645,4966.666667
遂宁,0.008801142,0.074179349,5930.355556
遵义,0.045198991,0.055620942,4962.981185
邵阳,0.247977085,0.049460704,4641.873016
郑州,0.196623442,0.169403789,10894.01868
郴州,0.466183359,0.051038971,4724.141667
鄂尔多斯,0.037640795,0.080102557,6239.108333
鄂州,0.011910808,0.094039477,6965.583333
酒泉,0.002769243,0.044952483,4406.877778
重庆,0.204357257,0.114770712,8046.218376
金昌,0.000565303,0.026788887,3460.083333
钦州,0.109445062,0.044176265,4366.416667
铁岭,0.012294084,0.03289475,3778.357143
铜仁,0.035079411,0.04203018,4254.55
铜川,0.001114626,0.031720053,3717.125
银川,0.016050554,0.055904043,4977.738095
锦州,0.055476168,0.048845588,4609.809524
长春,0.065964407,0.11397125,8004.545665
长沙,0.289273425,0.151807036,9976.771429
长治,0.033419347,0.075321011,5989.865741
阜新,0.019597363,0.030658255,3661.777778
阜阳,0.20958035,0.10449075,7510.365741
防城港,0.024072927,0.059554086,5168
阳泉,0.029141829,0.0394144,4118.2
阿克苏,0.001170856,0.028387899,3543.433333
阿勒泰,0.001788664,0.047218576,4525
阿拉尔,0.000199448,0.036206783,3951
陇南,0.005659636,0.07075964,5752.1
随州,0.027013984,0.051664006,4756.722222
雅安,0.001124999,0.063047,5350.071429
青岛,0.19350096,0.339057077,19737.35522
鞍山,0.031393428,0.047971332,4564.238095
驻马店,0.131586989,0.056301258,4998.44329
鸡西,0.00320959,0.025686216,3402.605556
鹤壁,0.016840937,0.04924252,4630.5
鹤岗,0.001420766,0,2063.6875
鹰潭,0.033924976,0.067521169,5583.291667
黄冈,0.099158474,0.052605588,4805.80303
黄山,0.079651823,0.113584899,7984.406746
黄石,0.025526735,0.068011168,5608.833333
黑河,0.00320979,0.029342798,3593.208333
齐齐哈尔,0.017174551,0.04643884,4484.355556
龙岩,0.052001248,0.132389045,8964.590476
